podcast_name,writer,link,language,country,category,episodes,publish_date,ListenScore,top_rank
Truco Gallo,FAP,https://www.listennotes.com/podcasts/truco-gallo-fap-hR_Wc-iXKbr/,Spanish,Argentina,"['News', 'Politics']",204,2019,33,5
Dem Fancy Dinosaurs Podcast,DemFancyDinosaurs,https://www.listennotes.com/podcasts/dem-fancy-dinosaurs-podcast-demfancydinosaurs-uOeSA0vbsHV/,English,Australia,['Leisure'],93,2018,37,2.5
Climactic,Climactic,https://www.listennotes.com/podcasts/climactic-climactic-eixwEIm-KCS/,English,Australia,"['Personal Journals', 'Society & Culture', 'Science', 'News', 'Natural Sciences']",310,2018,39,2
Sabbath School Podcast,Percy Harrold,https://www.listennotes.com/podcasts/sabbath-school-podcast-percy-harrold-_CdNPer6jqH/,English,Australia,"['Religion & Spirituality', 'Christianity']",169,2019,46,1
Conversations,ABC Radio,https://www.listennotes.com/podcasts/conversations-abc-radio-c6KJglmq39P/,English,Australia,['Society & Culture'],253,2020,73,0.05
Unravel True Crime: Juanita,ABC RadioABC,https://www.listennotes.com/podcasts/unravel-true-crime-juanita-abc-radioabc-ntSOpYQCdTo/,English,Australia,"['True Crime', 'News']",52,2018,71,0.05
The Signal,ABC RadioABC,https://www.listennotes.com/podcasts/the-signal-abc-radioabc--eDFAWN0woY/,English,Australia,['News'],749,2019,60,0.5
All In The Mind,ABC Radio,https://www.listennotes.com/podcasts/all-in-the-mind-abc-radio-oJWlpA460zT/,English,Australia,"['Mental Health', 'Health & Fitness', 'Science']",105,2020,66,0.05
Big Ideas,ABC Radio,https://www.listennotes.com/podcasts/big-ideas-abc-radio-E5CXLdv0pAJ/,English,Australia,"['Society & Culture', 'History']",695,2019,57,0.5
The Readings Podcast,Readings Books,https://www.listennotes.com/podcasts/the-readings-podcast-readings-books-jT4WaO9CuBM/,English,Australia,['Society & Culture'],155,2015,37,2.5
P.S Podcast,Phoebe and Sarah,https://www.listennotes.com/podcasts/ps-podcast-phoebe-and-sarah-h47BR-zx5d_/,English,Australia,['Society & Culture'],13,2018,37,2.5
Future Tense,ABC Radio,https://www.listennotes.com/podcasts/future-tense-abc-radio-GXyQSmvzYJ-/,English,Australia,"['Technology', 'Science', 'Society & Culture', 'Personal Journals']",532,2012,53,0.5
Sydney Ideas,Sydney Ideas,https://www.listennotes.com/podcasts/sydney-ideas-sydney-ideas-U5AmwJ96aEp/,English,Australia,['Education'],486,2006,34,5
Short & Curly,ABC Radio,https://www.listennotes.com/podcasts/short-curly-abc-radio-zObAX9CtqNY/,English,Australia,"['Kids & Family', 'Stories for Kids', 'Education for Kids', 'Parenting']",191,2016,70,0.05
Between the Lines,ABC Radio,https://www.listennotes.com/podcasts/between-the-lines-abc-radio-V9FS_6B0vnr/,English,Australia,['News'],468,2015,44,1
Life Matters - Separate stories podcast,ABC Radio,https://www.listennotes.com/podcasts/life-matters-separate-stories-podcast-abc-tHUlL-PWzs3/,English,Australia,"['Education', 'Society & Culture']",4285,2016,42,1.5
Everything Hertz,Dan Quintana,https://www.listennotes.com/podcasts/everything-hertz-dan-quintana-OE3ItmBWzs2/,English,Australia,['Science'],146,2016,42,1.5
The Walled Garden,Simon J. E. Drew,https://www.listennotes.com/podcasts/the-walled-garden-simon-j-e-drew-px7F6fHnOAh/,English,Australia,"['Society & Culture', 'Philosophy']",149,2020,53,0.5
My Amazing Body,Queensland Health,https://www.listennotes.com/podcasts/my-amazing-body-queensland-health-b-DFxrzHN_e/,English,Australia,"['Medicine', 'Science', 'Fitness', 'Health & Fitness']",26,2019,49,1
Philosopher's Zone,ABC Radio,https://www.listennotes.com/podcasts/philosophers-zone-abc-radio-VsH146EPSNF/,English,Australia,"['Society & Culture', 'Philosophy']",512,2011,55,0.5
Better Off Dead,The Wheeler Centre,https://www.listennotes.com/podcasts/better-off-dead-the-wheeler-centre-C320wIWTlBd/,English,Australia,"['News', 'Science', 'Medicine', 'Society & Culture', 'Technology']",33,2015,49,1
What It Takes,Academy of Achievement,https://www.listennotes.com/podcasts/what-it-takes-academy-of-achievement-580uoUJMgZX/,English,Australia,"['Self-Help', 'Arts', 'Science', 'Society & Culture', 'Personal Journals']",184,2015,58,0.5
Recovery After Stroke,Recovery After Stroke,https://www.listennotes.com/podcasts/recovery-after-stroke-recovery-after-stroke-4_J67nGxCqR/,English,Australia,"['Training', 'Education']",190,2017,37,2.5
Knowing Animals,Siobhan O'Sullivan,https://www.listennotes.com/podcasts/knowing-animals-siobhan-osullivan-DcwPeWI2rxK/,English,Australia,"['Science', 'Social Sciences', 'Education', 'Higher Education', 'Society & Culture', 'Philosophy']",236,2015,42,1.5
The Howie Games,LiSTNR,https://www.listennotes.com/podcasts/the-howie-games-listnr-trMPlLmcFGx/,English,Australia,"['Sports', 'Professional']",337,2016,67,0.05
Rear Vision,ABC Radio,https://www.listennotes.com/podcasts/rear-vision-abc-radio-Q5L9qHXzs_m/,English,Australia,"['News', 'Society & Culture', 'History']",380,2016,55,0.5
Science Friction,ABC Radio,https://www.listennotes.com/podcasts/science-friction-abc-radio-3h0yE7SZIHc/,English,Australia,"['Technology', 'Science']",350,2017,51,0.5
Podnews podcasting news,Podnews LLC,https://www.listennotes.com/podcasts/podnews-podcasting-news-podnews-llc-JpUGH-SEg4e/,English,Australia,"['Technology', 'Podcasting']",990,2018,42,1.5
